First name	Last name	95#	Email
DYYLNS	snatmu	951369364	Dsnatmu@uoregon.edu
HROWAY	qgfqfe	951600296	Hqgfqfe@uoregon.edu
EEEEMI	bdziaq	950024182	Ebdziaq@uoregon.edu
SMGFDT	dhxwdf	950682800	Sdhxwdf@uoregon.edu
AZHFXK	gwmznb	950711648	Agwmznb@uoregon.edu
WRVDUG	cqrbtg	950655949	Wcqrbtg@uoregon.edu
QCMOMN	pccdrt	951538115	Qpccdrt@uoregon.edu
UJLMKG	pfbwpu	950887016	Upfbwpu@uoregon.edu
CHYTDH	gjzsqk	951425402	Cgjzsqk@uoregon.edu
PIJJBC	rkzkya	950883144	Prkzkya@uoregon.edu
ZMKMDD	njnnua	951010177	Znjnnua@uoregon.edu
TOWIEW	jdvlnm	951573076	Tjdvlnm@uoregon.edu
DSCOMZ	yznpfd	951981500	Dyznpfd@uoregon.edu
OPRDUE	aqwmre	951132759	Oaqwmre@uoregon.edu
TBXUSY	hswwnz	950368789	Thswwnz@uoregon.edu
ALBVLF	ilzuex	950101507	Ailzuex@uoregon.edu
SBJRNL	uyjgtq	951050973	Suyjgtq@uoregon.edu
LDMHUD	azlbgp	950318820	Lazlbgp@uoregon.edu
TDABUU	etuoyq	950457467	Tetuoyq@uoregon.edu
ZXGZRZ	jjkdje	950062020	Zjjkdje@uoregon.edu
OBMUXS	rovyyr	950822485	Orovyyr@uoregon.edu
VYFBRC	ntovwq	950751231	Vntovwq@uoregon.edu
URIQUA	fkbbgj	951822036	Ufkbbgj@uoregon.edu
BYJYRX	imonri	951443802	Bimonri@uoregon.edu
VCYYCA	gwbfai	950990916	Vgwbfai@uoregon.edu
CGVWPT	ozcnnn	950765408	Cozcnnn@uoregon.edu
MLABLE	pailav	951584002	Mpailav@uoregon.edu
HGFHNW	yztlnf	951619625	Hyztlnf@uoregon.edu
ABMKDH	kxdhml	950438795	Akxdhml@uoregon.edu
BZZKCC	yrsevs	951561844	Byrsevs@uoregon.edu
MXELDA	tdhhwk	951885509	Mtdhhwk@uoregon.edu
LUESTW	zhagob	951740226	Lzhagob@uoregon.edu
VMTSHA	cwdztd	950745275	Vcwdztd@uoregon.edu
KTDDGT	xqrvbv	950871857	Kxqrvbv@uoregon.edu
PCFBDN	okwlxk	951924095	Pokwlxk@uoregon.edu
XTKWLU	jpjipa	951270194	Xjpjipa@uoregon.edu
FYTRNZ	qhbwbd	951943398	Fqhbwbd@uoregon.edu
HTQDIC	dkfajr	951303923	Hdkfajr@uoregon.edu
UZRWPS	yunmcw	950910143	Uyunmcw@uoregon.edu
GATQYE	cergps	951525616	Gcergps@uoregon.edu
PMZFYX	dxlrdu	950506449	Pdxlrdu@uoregon.edu
PPFYPH	ibbunn	950929392	Pibbunn@uoregon.edu
HBCKWJ	pioxjc	951786858	Hpioxjc@uoregon.edu
PGVUGH	yxawmy	950028591	Pyxawmy@uoregon.edu
NLMMLQ	xzueba	951237262	Nxzueba@uoregon.edu
IOOSZG	rchswp	951363547	Irchswp@uoregon.edu
UEXLMI	fovqts	951631878	Ufovqts@uoregon.edu
JEMODS	lpyfsc	951988178	Jlpyfsc@uoregon.edu
XAVDFL	kivlwi	950236970	Xkivlwi@uoregon.edu
PCVPIQ	sccyni	950595826	Psccyni@uoregon.edu
KULRLF	knqwmj	950552232	Kknqwmj@uoregon.edu
BBDMIN	hrunvh	950542003	Bhrunvh@uoregon.edu
TJHJBP	hyxsxu	950732053	Thyxsxu@uoregon.edu
ESCAUJ	vrhbzy	951501339	Evrhbzy@uoregon.edu
OQADTM	peyuaq	950295382	Opeyuaq@uoregon.edu
GRUTZL	fxpvui	951180432	Gfxpvui@uoregon.edu
CYLVFU	hivgjs	951834321	Chivgjs@uoregon.edu
SAUOYQ	kbfshf	950843335	Skbfshf@uoregon.edu
UAWIPZ	koujja	951548199	Ukoujja@uoregon.edu
SYUUFD	xhbixj	951236804	Sxhbixj@uoregon.edu
NPUGQR	kikbgx	951532786	Nkikbgx@uoregon.edu
ECAIWE	oecnyk	950494783	Eoecnyk@uoregon.edu
GGTHLE	hgsrwf	951196949	Ghgsrwf@uoregon.edu
DBGHKX	rddkei	950083737	Drddkei@uoregon.edu
KSLEEU	mgatqt	950559669	Kmgatqt@uoregon.edu
IOJLHH	jenoxk	950735525	Ijenoxk@uoregon.edu
RRWVJZ	jlxbum	950309716	Rjlxbum@uoregon.edu
ZMMPVO	qdvptm	951966449	Zqdvptm@uoregon.edu
UABXHE	zhgxsc	951153615	Uzhgxsc@uoregon.edu
FOROEO	ycjpyc	950913725	Fycjpyc@uoregon.edu
EWGBZJ	oqwxju	950159862	Eoqwxju@uoregon.edu
FUVPGF	orzlkd	950417737	Forzlkd@uoregon.edu
MOVIHN	ygqxhc	950108685	Mygqxhc@uoregon.edu
HFYOSQ	lvajqm	950005999	Hlvajqm@uoregon.edu
DWWOQR	xerxcs	950192488	Dxerxcs@uoregon.edu
XRLYWC	kabthj	950815727	Xkabthj@uoregon.edu
KYBLES	ovuixw	950677904	Kovuixw@uoregon.edu
SANEFM	lnaaxt	950385113	Slnaaxt@uoregon.edu
VYXOPU	gkshha	950774025	Vgkshha@uoregon.edu
EXTWBT	lutrwq	951523554	Elutrwq@uoregon.edu
OLXKKO	ztqhbu	951732928	Oztqhbu@uoregon.edu
OOTSEG	tiwlug	950947164	Otiwlug@uoregon.edu
PKJQGB	ntskyx	951567453	Pntskyx@uoregon.edu
CZDBXY	xvpkdp	950644329	Cxvpkdp@uoregon.edu
GCKKMI	ntugxz	950817518	Gntugxz@uoregon.edu
TMNKMI	kctyie	950870491	Tkctyie@uoregon.edu
NBNRMC	zypedu	951430276	Nzypedu@uoregon.edu
ZRZSNO	rqbcqp	951548828	Zrqbcqp@uoregon.edu
RCHGUO	zsaodp	951054145	Rzsaodp@uoregon.edu
DAKLFD	bnlrmg	950246801	Dbnlrmg@uoregon.edu
ZMYWIU	etsooh	951914815	Zetsooh@uoregon.edu
LCOYUV	apbhsg	950277007	Lapbhsg@uoregon.edu
GYNIWU	qylfln	950326614	Gqylfln@uoregon.edu
AFRATR	uyxltp	950593138	Auyxltp@uoregon.edu
SZXZPS	spyuwo	951405155	Sspyuwo@uoregon.edu
ZRSOHV	yzimyd	951288803	Zyzimyd@uoregon.edu
VVMCCE	btnhxq	950011960	Vbtnhxq@uoregon.edu
OUKDHH	yoeyux	951153106	Oyoeyux@uoregon.edu
GPMFNL	aayipr	950675355	Gaayipr@uoregon.edu
COPCZL	epalmq	950701183	Cepalmq@uoregon.edu
BGVMXA	kxrzcd	951771076	Bkxrzcd@uoregon.edu
WLRQOT	reyucw	950476038	Wreyucw@uoregon.edu
AHWPIK	spwlnl	951368787	Aspwlnl@uoregon.edu
BLBCZO	ztcutf	951704492	Bztcutf@uoregon.edu
MRIKJD	ssbswq	951177296	Mssbswq@uoregon.edu
CJQFAS	iwmivg	951800216	Ciwmivg@uoregon.edu
VXUVVR	eyozys	950933106	Veyozys@uoregon.edu
KJTPOR	amaeeb	951077995	Kamaeeb@uoregon.edu
LYGXPP	usocuj	950786647	Lusocuj@uoregon.edu
EXREAR	urnowr	951841820	Eurnowr@uoregon.edu
BLZIJI	gbixgh	950568355	Bgbixgh@uoregon.edu
NSRIPI	mfzuru	950029128	Nmfzuru@uoregon.edu
UPTSGD	cstrlm	950743115	Ucstrlm@uoregon.edu
LQLEVM	aviaep	950785485	Laviaep@uoregon.edu
CLTMPS	pqzfgk	950820651	Cpqzfgk@uoregon.edu
VIPOSN	yfdtul	951748964	Vyfdtul@uoregon.edu
LAOLGO	pngbvf	950423142	Lpngbvf@uoregon.edu
ZTMUHT	hgprkj	950861387	Zhgprkj@uoregon.edu
ELGGEF	fmqmvz	951073833	Efmqmvz@uoregon.edu
JKCTNF	qbrvto	950465759	Jqbrvto@uoregon.edu
RBBADB	tofqoz	951286336	Rtofqoz@uoregon.edu
JDJAYV	meqrah	950760732	Jmeqrah@uoregon.edu
GUVZZR	dtvbhu	950658688	Gdtvbhu@uoregon.edu
CQREPF	aqtmzx	950886384	Caqtmzx@uoregon.edu
LCKNQI	hflbfw	950229997	Lhflbfw@uoregon.edu
MLVBXL	zwkmig	951519518	Mzwkmig@uoregon.edu
JYYANE	lqihje	951575161	Jlqihje@uoregon.edu
BIRBFC	oksvgi	950962273	Boksvgi@uoregon.edu
RRVJJX	dooqwu	950114980	Rdooqwu@uoregon.edu
ZPHXVI	emmgrr	950315549	Zemmgrr@uoregon.edu
QCTEBD	bcjtwd	950412789	Qbcjtwd@uoregon.edu
ZTPVVR	mghxlx	951705577	Zmghxlx@uoregon.edu
WVHVEF	obpijg	951689038	Wobpijg@uoregon.edu
XOWLFH	zecfug	950046052	Xzecfug@uoregon.edu
NGVTZU	lpoppb	951428113	Nlpoppb@uoregon.edu
HDJOQD	szyhfv	950411648	Hszyhfv@uoregon.edu
ZHAAOU	wxafaz	950580833	Zwxafaz@uoregon.edu
ZJXYNN	jnhjhp	951220167	Zjnhjhp@uoregon.edu
ZMJYPD	erfxhl	950427906	Zerfxhl@uoregon.edu
GRYERZ	gdcpux	951615255	Ggdcpux@uoregon.edu
LLNHHL	klbutn	950417486	Lklbutn@uoregon.edu
GPRWUR	sxgrfc	951556767	Gsxgrfc@uoregon.edu
QLXNKZ	jraqag	950427731	Qjraqag@uoregon.edu
KIIWHU	ewlccp	951295590	Kewlccp@uoregon.edu
NXMXYT	nafgni	951396614	Nnafgni@uoregon.edu
HRMESX	klzmwx	950869540	Hklzmwx@uoregon.edu
NQYBBZ	cxlvhz	951627234	Ncxlvhz@uoregon.edu
FOXVPT	rrekbh	951569954	Frrekbh@uoregon.edu
QNXIGU	rxqzul	951287838	Qrxqzul@uoregon.edu
RYQOHR	vlmraj	950762214	Rvlmraj@uoregon.edu
SNEFBV	ypyooz	950452875	Sypyooz@uoregon.edu
LRBJZK	ajqyse	950853585	Lajqyse@uoregon.edu
IUNJRX	yllgyt	951109553	Iyllgyt@uoregon.edu
SFVSGR	uprcbc	950661367	Suprcbc@uoregon.edu
APLIAH	qpfbib	950909647	Aqpfbib@uoregon.edu
SIZHFF	limlbf	951102134	Slimlbf@uoregon.edu
IGVGJB	vahfaw	950558416	Ivahfaw@uoregon.edu
EYHNZL	kufuds	950981387	Ekufuds@uoregon.edu
WJEXTU	iqszwa	950399013	Wiqszwa@uoregon.edu
KPTOPV	zzxgei	950518445	Kzzxgei@uoregon.edu
DXAQLX	paibgk	950423502	Dpaibgk@uoregon.edu
NSRDQB	dgnvjp	951357849	Ndgnvjp@uoregon.edu
EYZLRF	oczdsu	951736605	Eoczdsu@uoregon.edu
XEDFRC	xuwrak	951083547	Xxuwrak@uoregon.edu
YJLCAI	soswum	951912736	Ysoswum@uoregon.edu
XCAWLP	npzhqc	951130084	Xnpzhqc@uoregon.edu
BBYUTK	kdnoxg	951323219	Bkdnoxg@uoregon.edu
BQPGET	wxcnxi	950499423	Bwxcnxi@uoregon.edu
VWTHEU	pngmlb	951067517	Vpngmlb@uoregon.edu
TGYUXY	chjabb	950485252	Tchjabb@uoregon.edu
SHMKPK	mgvwiw	951435137	Smgvwiw@uoregon.edu
CMWQDP	blojjg	951732551	Cblojjg@uoregon.edu
XTAZEV	vejbbq	951785822	Xvejbbq@uoregon.edu
MASZMU	vclvmp	951661666	Mvclvmp@uoregon.edu
QAWSGL	wtbpgy	951322069	Qwtbpgy@uoregon.edu
NDQMCB	sgdvnc	951344534	Nsgdvnc@uoregon.edu
EUCDMW	asfcir	950647726	Easfcir@uoregon.edu
AWADMJ	vapjfl	950988805	Avapjfl@uoregon.edu
BKYHYW	emorzv	950857054	Bemorzv@uoregon.edu
IZNVCJ	xopgte	950128989	Ixopgte@uoregon.edu
XEBLOR	yqhohl	950270657	Xyqhohl@uoregon.edu
DURDWP	ddanfp	950732675	Dddanfp@uoregon.edu
QBQZWC	bcytrn	951875857	Qbcytrn@uoregon.edu
VKSLVU	apwocs	950555846	Vapwocs@uoregon.edu
MYQMMU	vyiulg	950343591	Mvyiulg@uoregon.edu
ABDTZX	vjgbpd	950306634	Avjgbpd@uoregon.edu
UZVJAQ	ggyupj	951515565	Uggyupj@uoregon.edu
SMYHBH	mwgxaj	951279092	Smwgxaj@uoregon.edu
CQYLCS	enivgh	951026091	Cenivgh@uoregon.edu
MUHVHO	vocsen	951591700	Mvocsen@uoregon.edu
ZSJAFH	vgsgbw	950184525	Zvgsgbw@uoregon.edu
APEMQG	miiqtc	951873015	Amiiqtc@uoregon.edu
JNWSKV	ogiqen	951627791	Jogiqen@uoregon.edu
NCAXSQ	wbhhpo	951293953	Nwbhhpo@uoregon.edu
YGALRS	exwjyy	951788305	Yexwjyy@uoregon.edu
NCOVQI	tiiyrk	950082481	Ntiiyrk@uoregon.edu
BPCLJF	mvxghs	950072421	Bmvxghs@uoregon.edu
ATLYGJ	hpoett	951717756	Ahpoett@uoregon.edu
ZXPPBU	adtvrv	950431655	Zadtvrv@uoregon.edu
DMTFFU	zeztlk	951956736	Dzeztlk@uoregon.edu
PVEMJL	rngzdl	950298960	Prngzdl@uoregon.edu
HKRKKX	ughgam	950027082	Hughgam@uoregon.edu
YDVPTC	ayzbts	951104113	Yayzbts@uoregon.edu
EPEASG	ovnlvj	950628706	Eovnlvj@uoregon.edu
OXVJTB	fjtdns	951617069	Ofjtdns@uoregon.edu
DFNVAL	oiyidf	950939410	Doiyidf@uoregon.edu
WLNOEI	vmtolt	951059811	Wvmtolt@uoregon.edu
CBQLBU	hosofk	950143394	Chosofk@uoregon.edu
VFUEKA	riikfb	950763798	Vriikfb@uoregon.edu
ETUJNX	shenqm	950251029	Eshenqm@uoregon.edu
KOBYUL	czbsow	951159546	Kczbsow@uoregon.edu
XHGQLO	zpxwqm	950974649	Xzpxwqm@uoregon.edu
HQXIHE	swgsyo	951501170	Hswgsyo@uoregon.edu
RKEAZT	dhnotd	951768989	Rdhnotd@uoregon.edu
CVBADK	osywiq	951337382	Cosywiq@uoregon.edu
AQXUUK	wdnwus	951902407	Awdnwus@uoregon.edu
MGMLRB	fzlylg	950007841	Mfzlylg@uoregon.edu
MEZBRF	qmjiig	950670202	Mqmjiig@uoregon.edu
IBGLBZ	gfkicl	950711717	Igfkicl@uoregon.edu
MTNQCG	pjtych	950751282	Mpjtych@uoregon.edu
QLYDMY	vpxyvf	951654241	Qvpxyvf@uoregon.edu
XOSDXK	dbbjdm	951262210	Xdbbjdm@uoregon.edu
PSUTYD	yereae	950819883	Pyereae@uoregon.edu
IJLKLQ	xeyfkk	951780178	Ixeyfkk@uoregon.edu
CAORRM	rrdwpc	951184113	Crrdwpc@uoregon.edu
UZCHWL	ukdkqu	951645858	Uukdkqu@uoregon.edu
WGRRFG	cflisg	951641141	Wcflisg@uoregon.edu
LNMIKC	vsgkoe	951319490	Lvsgkoe@uoregon.edu
SNEJIG	qnzzfi	951935780	Sqnzzfi@uoregon.edu
AQEBOR	uxthff	950624928	Auxthff@uoregon.edu
NGHXFU	uolobj	950889400	Nuolobj@uoregon.edu
MBKQLL	qtzdtw	950573780	Mqtzdtw@uoregon.edu
ZTMWWX	ujyrog	950640920	Zujyrog@uoregon.edu
GRWZXI	bsmpet	950248185	Gbsmpet@uoregon.edu
FXRCVT	cyceye	950174179	Fcyceye@uoregon.edu
JJZJEV	vwiuos	950775233	Jvwiuos@uoregon.edu
RTQEQX	bfebtv	951873726	Rbfebtv@uoregon.edu
MWFVPJ	cfvamc	950125939	Mcfvamc@uoregon.edu
EGBQYU	xoswge	950896796	Exoswge@uoregon.edu
IBDUYS	tkslgo	951609703	Itkslgo@uoregon.edu
RYLBIY	amqqot	950923562	Ramqqot@uoregon.edu
PIFRCZ	khdska	951504273	Pkhdska@uoregon.edu
OBFMZU	glxfmu	951651886	Oglxfmu@uoregon.edu
ONMLVQ	xnvjhn	951141845	Oxnvjhn@uoregon.edu
YJXPAJ	nepnou	950661344	Ynepnou@uoregon.edu
CGEQLG	nyrkuv	951983378	Cnyrkuv@uoregon.edu
QKQERL	rwtsmi	951391701	Qrwtsmi@uoregon.edu
BLPLDZ	wuaedh	950987466	Bwuaedh@uoregon.edu
ULJJJT	jeadoq	950250689	Ujeadoq@uoregon.edu
HNTJSP	zdjvzf	951810041	Hzdjvzf@uoregon.edu
GWBJDS	ersuep	951570222	Gersuep@uoregon.edu
VUDOAJ	iktlzi	950389839	Viktlzi@uoregon.edu
JJVBZD	qmmrch	950544350	Jqmmrch@uoregon.edu
HPWZOL	xfmeyl	951699096	Hxfmeyl@uoregon.edu
PURALY	wzwwqy	950061151	Pwzwwqy@uoregon.edu
OMSGVF	xlitsn	950661845	Oxlitsn@uoregon.edu
KYTPJM	tttavi	950213080	Ktttavi@uoregon.edu
AOQWLI	aupsrg	951398002	Aaupsrg@uoregon.edu
XYSYUL	lfqncn	951753636	Xlfqncn@uoregon.edu
VBPEAD	yvxhiw	950116150	Vyvxhiw@uoregon.edu
KYZCWW	ymmtmp	951653953	Kymmtmp@uoregon.edu
HABZVH	sscuda	950787208	Hsscuda@uoregon.edu
WYUIZO	rwitsy	950882930	Wrwitsy@uoregon.edu
DIZGLM	jexjbn	950351610	Djexjbn@uoregon.edu
HOQQAV	smwpkt	951496233	Hsmwpkt@uoregon.edu
ZDPTPW	czvxat	950038637	Zczvxat@uoregon.edu
YFFOKF	euurot	951738591	Yeuurot@uoregon.edu
MELWOV	nnlsei	951498244	Mnnlsei@uoregon.edu
ZVBFBQ	eaurfp	951387694	Zeaurfp@uoregon.edu
LLOHNP	ieerhf	950446677	Lieerhf@uoregon.edu
NPGOZV	rqrvby	950437754	Nrqrvby@uoregon.edu
NXJTSE	kdroul	950315592	Nkdroul@uoregon.edu
LTNFYM	ledpdr	951165029	Lledpdr@uoregon.edu
FBDEBN	unybsa	951884604	Funybsa@uoregon.edu
XTQJOG	aqezll	950114916	Xaqezll@uoregon.edu
RXLAYD	dkicet	950331354	Rdkicet@uoregon.edu
QDXQYN	jbphif	951246164	Qjbphif@uoregon.edu
CKGKIT	xwvjck	951222671	Cxwvjck@uoregon.edu
MFSKXP	yhndbd	951399273	Myhndbd@uoregon.edu
JEFZRY	zgynhp	950556247	Jzgynhp@uoregon.edu
EUZQUA	pbtxwl	951643079	Epbtxwl@uoregon.edu
GAOTKU	pywhac	950398217	Gpywhac@uoregon.edu
AAAYTK	yfieop	950994844	Ayfieop@uoregon.edu
VPOGIT	utifmj	950017615	Vutifmj@uoregon.edu
AYANGT	aqwtoh	950715121	Aaqwtoh@uoregon.edu
NGMMVX	dgsewk	951907668	Ndgsewk@uoregon.edu
LVBNAT	elohht	950672209	Lelohht@uoregon.edu
GOJGCM	sebzkc	950065913	Gsebzkc@uoregon.edu
KWGHKC	tpqlzf	950156706	Ktpqlzf@uoregon.edu
KXFHZO	qsmpzk	951564299	Kqsmpzk@uoregon.edu
ZKNKMW	gbkfeq	950971662	Zgbkfeq@uoregon.edu
NYJSPN	virzcj	951630630	Nvirzcj@uoregon.edu
YJXKLS	wdqabw	951718718	Ywdqabw@uoregon.edu
ORFGDT	igqkbz	950097236	Oigqkbz@uoregon.edu
PWDWNA	xkoclr	950451081	Pxkoclr@uoregon.edu
ZTMAPO	jdzlwd	950885044	Zjdzlwd@uoregon.edu
OAQXUQ	kegqfe	951417865	Okegqfe@uoregon.edu
VWKWHW	ogexmf	950429002	Vogexmf@uoregon.edu
SONGGF	skyjpz	950389748	Sskyjpz@uoregon.edu
AWYBUG	kafwmq	950525040	Akafwmq@uoregon.edu
GBJVMW	kxcyep	951985561	Gkxcyep@uoregon.edu
HFLJCM	hwwcyg	950354595	Hhwwcyg@uoregon.edu
USBXPK	bgkaoh	951906657	Ubgkaoh@uoregon.edu
ZUFZSL	nndnjm	950731576	Znndnjm@uoregon.edu
LZBVWL	bkuusy	950745683	Lbkuusy@uoregon.edu
CRRSBT	aijunk	951787465	Caijunk@uoregon.edu
WRUAEE	vcyqim	951289309	Wvcyqim@uoregon.edu
ISRHWA	wmrads	950900184	Iwmrads@uoregon.edu
FWBYVB	uxqfly	951323427	Fuxqfly@uoregon.edu
GJNDJC	alkxjm	951447011	Galkxjm@uoregon.edu
NVJHYW	qyeyvg	950995134	Nqyeyvg@uoregon.edu
WWGLZG	renwlt	951521692	Wrenwlt@uoregon.edu
LCSUPP	evlwgg	951413031	Levlwgg@uoregon.edu
HRFLXQ	cbioiu	951888425	Hcbioiu@uoregon.edu
JHYFMH	whemik	951926248	Jwhemik@uoregon.edu
MNZSWW	bcljmr	951197517	Mbcljmr@uoregon.edu
EWABNA	wquewy	950556769	Ewquewy@uoregon.edu
WAYUBU	stjrpu	950959005	Wstjrpu@uoregon.edu
ATPDJX	bmzqwd	950217385	Abmzqwd@uoregon.edu
AVOYCX	ryjgfn	951015698	Aryjgfn@uoregon.edu
YLWGVV	fnstil	951311062	Yfnstil@uoregon.edu
NZRSUS	wheexw	950627687	Nwheexw@uoregon.edu
ZEHKSP	vwpxga	950596992	Zvwpxga@uoregon.edu
SUGHDG	xgsink	951208697	Sxgsink@uoregon.edu
IYDMNT	sngwys	950301880	Isngwys@uoregon.edu
BXQFTJ	hjhixk	951913231	Bhjhixk@uoregon.edu
THMKQV	bxhwts	950128041	Tbxhwts@uoregon.edu
QLLRGJ	fniiai	951630256	Qfniiai@uoregon.edu
FYEKHF	diiblt	951101090	Fdiiblt@uoregon.edu
ZQNDMJ	dcpbzk	950811863	Zdcpbzk@uoregon.edu
RGYRFL	rklugl	951457601	Rrklugl@uoregon.edu
FRWHEJ	sfbvdj	951029150	Fsfbvdj@uoregon.edu
YGFBRG	yckmla	950807220	Yyckmla@uoregon.edu
EZWDJT	prcpby	950479642	Eprcpby@uoregon.edu
LMWWEK	juujkx	951942732	Ljuujkx@uoregon.edu
CUHDOL	pyeieu	951553958	Cpyeieu@uoregon.edu
SRTOPD	ribqqy	950122229	Sribqqy@uoregon.edu
YVCLSQ	cnkwfd	950474038	Ycnkwfd@uoregon.edu
KTQVNS	ntyxkv	950412573	Kntyxkv@uoregon.edu
OTUNKC	icgqcn	951492880	Oicgqcn@uoregon.edu
RXGMEJ	trkemb	950129551	Rtrkemb@uoregon.edu
PEACNE	llbhbw	951866641	Pllbhbw@uoregon.edu
AMJFOU	yespbz	951907085	Ayespbz@uoregon.edu
XBRDPI	gkychz	951101479	Xgkychz@uoregon.edu
LHESOC	bakxua	950828371	Lbakxua@uoregon.edu
EBMWEI	qhhuhx	950006915	Eqhhuhx@uoregon.edu
AMFCOI	nizxzs	950829100	Anizxzs@uoregon.edu
NRYVZZ	yapixh	950723163	Nyapixh@uoregon.edu
QVJECH	trkszc	950682771	Qtrkszc@uoregon.edu
XIXXTC	wsvimm	950101688	Xwsvimm@uoregon.edu
KRGJAS	anzust	950664071	Kanzust@uoregon.edu
DOIGYV	jqrqxk	951069067	Djqrqxk@uoregon.edu
RQZQVK	gbempi	951901142	Rgbempi@uoregon.edu
OALZDG	wuqych	950514452	Owuqych@uoregon.edu
MALXHL	zusder	950988819	Mzusder@uoregon.edu
JQWRXM	rdhxcr	951065550	Jrdhxcr@uoregon.edu
QMNHNP	dckeut	950320933	Qdckeut@uoregon.edu
LBAOXQ	zbaonj	951630510	Lzbaonj@uoregon.edu
IYQCOI	uogahg	951953477	Iuogahg@uoregon.edu
CBICBL	pvmhxv	950618834	Cpvmhxv@uoregon.edu
YUVRXT	nbpkfv	951863972	Ynbpkfv@uoregon.edu
WODMFV	rrzsdg	951409635	Wrrzsdg@uoregon.edu
VJBAHM	dvylkg	950993473	Vdvylkg@uoregon.edu
YHQVCW	kjvzrf	950837510	Ykjvzrf@uoregon.edu
WHYPDH	dhmsuu	950316443	Wdhmsuu@uoregon.edu
JQNBSL	ryhsqd	951259092	Jryhsqd@uoregon.edu
QPZQKV	nosdma	950871065	Qnosdma@uoregon.edu
NFHRGM	mjdhac	950698188	Nmjdhac@uoregon.edu
OSYINU	dvgbjc	951867191	Odvgbjc@uoregon.edu
IGXQQR	umokdw	951319893	Iumokdw@uoregon.edu
UKJWVC	daaebq	951910313	Udaaebq@uoregon.edu
ELXBMT	xromxw	950190440	Exromxw@uoregon.edu
XNMFTG	ykgexn	951723294	Xykgexn@uoregon.edu
IMIFDQ	gdehpb	950931116	Igdehpb@uoregon.edu
ZJYBZU	eqqxif	950575535	Zeqqxif@uoregon.edu
KCGEUL	ivysaq	951182686	Kivysaq@uoregon.edu
ZVCHKW	sioshx	951226330	Zsioshx@uoregon.edu
QMPFRG	belamq	950216997	Qbelamq@uoregon.edu
BZYPRD	qajymg	950084985	Bqajymg@uoregon.edu
HMUQBV	rphbql	950099349	Hrphbql@uoregon.edu
XDKBVB	ruexsx	951016334	Xruexsx@uoregon.edu
IAQQGC	kmiyka	950194457	Ikmiyka@uoregon.edu
DRKLCV	nmhzyy	950792627	Dnmhzyy@uoregon.edu
EUVBAM	xjudab	950368099	Exjudab@uoregon.edu
QXYPGU	qhcmaz	950152534	Qqhcmaz@uoregon.edu
YIEUJO	sdztxc	950035939	Ysdztxc@uoregon.edu
JOGMBZ	wwksou	950569011	Jwwksou@uoregon.edu
VGOGYV	oqfsdp	951632253	Voqfsdp@uoregon.edu
QXDGDU	pgdimp	950954534	Qpgdimp@uoregon.edu
